GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
xlator,com.fns.xlator.cache,RedisCacheStatisticsProvider,49,0,0,0,12,0,2,0,2,0
xlator,com.fns.xlator.cache,RedisCacheMonitor,84,0,2,0,19,0,5,0,4,0
xlator,com.fns.xlator.monitoring,MonitoringSupport,60,0,0,0,13,0,5,0,5,0
xlator,com.fns.xlator.monitoring,StatsdRunner,37,0,0,0,7,0,2,0,2,0
xlator,com.fns.xlator.monitoring,DefaultWebappMetricFilter,72,0,0,0,13,0,3,0,3,0
xlator,com.fns.xlator.monitoring,MonitoringSupport.MonitoringListener,19,0,0,0,6,0,3,0,3,0
xlator,com.fns.xlator.monitoring,StatsdSettings,68,11,2,0,19,3,11,1,10,1
xlator,com.fns.xlator.model,TranslationRequest,21,0,0,0,8,0,4,0,4,0
xlator,com.fns.xlator.model,ErrorResponse,30,0,0,0,11,0,6,0,6,0
xlator,com.fns.xlator.model,Translation,27,0,0,0,10,0,5,0,5,0
xlator,com.fns.xlator.model,Translations,15,0,0,0,6,0,3,0,3,0
xlator,com.fns.xlator.client.api,CacheService,23,11,0,0,3,4,1,1,1,1
xlator,com.fns.xlator.client.api,SwaggerConfig,0,77,0,0,0,19,0,3,0,3
xlator,com.fns.xlator.client.config,ClientConfig,0,80,0,4,0,19,0,5,0,3
xlator,com.fns.xlator.controller,TranslationController,243,20,8,0,38,7,13,1,9,1
xlator,com.fns.xlator.controller,Pointcuts,4,0,0,0,2,0,2,0,2,0
xlator,com.fns.xlator.controller,MetricsAspect,118,3,0,0,14,1,1,1,1,1
xlator,com.fns.xlator.client.impl,TranslationException,42,0,0,0,4,0,2,0,2,0
xlator,com.fns.xlator.client.impl,ValidationUtils,64,28,3,1,9,7,4,3,1,3
xlator,com.fns.xlator,JettyConfig.JettyThreadPoolSettings,28,15,0,0,12,4,8,1,8,1
xlator,com.fns.xlator,JettyConfig.InstrumentedJettyServer,160,15,0,0,25,5,4,1,4,1
xlator,com.fns.xlator,JettyConfig.JettyLowResourceMonitorSettings,42,26,0,0,18,7,12,1,12,1
xlator,com.fns.xlator,Application.CacheMonitorConfig,9,0,0,0,2,0,2,0,2,0
xlator,com.fns.xlator,Application.LocalCacheConfig,0,27,0,0,0,7,0,3,0,3
xlator,com.fns.xlator,Application.FrenglyApiConfig,14,0,0,0,3,0,3,0,3,0
xlator,com.fns.xlator,Application.SharedCacheConfig,44,0,0,0,13,0,5,0,5,0
xlator,com.fns.xlator,Application,5,3,0,0,2,1,1,1,1,1
xlator,com.fns.xlator,JettyConfig.InstrumentedJettyServer.new RatioGauge() {...},23,0,0,0,2,0,2,0,2,0
xlator,com.fns.xlator,Application.ElastiCacheConfig,3,0,0,0,1,0,1,0,1,0
xlator,com.fns.xlator,JettyConfig.InstrumentedJettyServer.new RatioGauge() {...},23,0,0,0,2,0,2,0,2,0
xlator,com.fns.xlator,JettyConfig.InstrumentedJettyServer.new Gauge() {...},14,0,0,0,2,0,2,0,2,0
xlator,com.fns.xlator,JettyConfig.InstrumentedJettyServer.new Gauge() {...},14,0,0,0,2,0,2,0,2,0
xlator,com.fns.xlator,Application.GoogleApiConfig,0,14,0,0,0,3,0,3,0,3
xlator,com.fns.xlator,JettyConfig,0,24,0,0,0,4,0,2,0,2
xlator,com.fns.xlator.client.impl.frengly,FrenglyTranslationService,190,0,10,0,39,0,8,0,3,0
xlator,com.fns.xlator.client.impl.frengly,FrenglyClientSettings,42,0,0,0,16,0,9,0,9,0
xlator,com.fns.xlator.client.impl.frengly,FrenglyTranslation,27,0,0,0,10,0,5,0,5,0
xlator,com.fns.xlator.client.impl.google,Translation,9,0,0,0,4,0,2,0,2,0
xlator,com.fns.xlator.client.impl.google,Data,35,0,2,0,10,0,4,0,3,0
xlator,com.fns.xlator.client.impl.google,GoogleClientSettings,13,19,0,0,5,7,4,3,4,3
xlator,com.fns.xlator.client.impl.google,GoogleTranslation,16,0,0,0,7,0,3,0,3,0
xlator,com.fns.xlator.client.impl.google,GoogleTranslationService,149,25,9,1,28,9,6,2,1,2
